Woche,Tag,Slot,Titel,Kategorie,Tareno Feature,Status,Inspiration,
Woche 1,Mo,1 (News),Instagram Update: Neue Reels-Funktionen im Februar 2026,News & Trends,Analytics Suite,Offen,[Buffer] 13 Ways to Get More Followers on Instagram in 2026 — Here&#x27;s Exactly What I Would Do if I Were Just Starting Out | [Buffer] How to Get Verified on Instagram: 2 Ways to Get Your Blue Check in 2026 | [Buffer] 13 Trending Sounds on Instagram in February 2026 (+ How to Use Them),
Woche 1,Mo,2 (Tool),5 KI-Tools für bessere Instagram Captions (Test),Tools & KI,Instagram Caption Generator (Free Tool) + AI Assist,Offen,[PostPlanify] Holiday captions for instagram | [Buffer] 13 Ways to Get More Followers on Instagram in 2026 — Here&#x27;s Exactly What I Would Do if I Were Just Starting Out | [Buffer] How to Get Verified on Instagram: 2 Ways to Get Your Blue Check in 2026,
Woche 1,Mo,3 (Deep Dive),Der ultimative Instagram Growth Guide 2026: Von 0 auf 10k Follower,Strategie,Instagram Hashtag Generator (Free Tool) + Visual Calendar,Offen,"[MeetEdgar] How to Increase Instagram Followers: The 2026 Strategy Guide | [MeetEdgar] Best Time to Post on Instagram in 2026: Complete Guide | [MeetEdgar] Instagram Post Size Guide: Dimensions for Posts, Reels, & Stories [2026]",
Woche 1,Di,1 (News),LinkedIn Algorithmus Leaks: Was jetzt wirklich zählt,News & Trends,Analytics Suite,Offen,"[Buffer] I Have 22K Followers on LinkedIn — Here&#x27;s How You Can Grow Your Following, Too | [Buffer] How Buffer Helped Me Triple My LinkedIn Impressions and Grow My Newsletter | [MeetEdgar] How the LinkedIn Algorithm Works [2026 Guide]",
Woche 1,Di,2 (Tool),LinkedIn Karussells erstellen: Vorlagen & Tools,Tools & KI,LinkedIn Post Generator (Free Tool) + Post Composer,Offen,"[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] I Have 22K Followers on LinkedIn — Here&#x27;s How You Can Grow Your Following, Too | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science]",
Woche 1,Di,3 (Deep Dive),Social Selling auf LinkedIn: Wie du Leads generierst ohne zu nerven,Strategie,CRM Integration + Social Inbox,Offen,"[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] I Have 22K Followers on LinkedIn — Here&#x27;s How You Can Grow Your Following, Too | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer)",
Woche 1,Mi,1 (News),TikTok vs. YouTube Shorts: Wo gibt es mehr Reichweite?,News & Trends,Analytics Suite,Offen,[MeetEdgar] Are YouTube Shorts Worth It? 5 Reasons You Must Use Them to Grow in 2026 | [Hootsuite] Wie sie mehr abonnenten auf youtube gewinnen | [PostPlanify] How to schedule youtube shorts in 2025,
Woche 1,Mi,2 (Tool),Video-Repurposing: Ein Video für 3 Plattformen zuschneiden,Tools & KI,TikTok Caption Generator (Free Tool) + Media Library,Offen,"[MeetEdgar] How to Make Ultra-Wide 5120x1080 Instagram Reels (Thinnest Video Trend Guide) | [MeetEdgar] Should Your Brand Jump on Viral Trends? Lessons from the Coldplay CEO Kiss Cam Viral Video | [MeetEdgar] Which is the Best Social Network for Live Video - Facebook, X, YouTube or Instagram?",
Woche 1,Mi,3 (Deep Dive),Short-Form Video Strategie 2026: Die 3-Sekunden-Regel,Strategie,TikTok Hook Generator (Free Tool) + Video Editor,Offen,[Hootsuite] La video le format indispensable a votre strategie digitale | [Buffer] 13 Ways to Get More Followers on Instagram in 2026 — Here&#x27;s Exactly What I Would Do if I Were Just Starting Out | [Buffer] My Content Rotation: 23 Best Newsletters for Marketers and Creators in 2026,
Woche 1,Do,1 (News),Threads Nutzerzahlen explodieren: Lohnt sich der Einstieg noch?,News & Trends,Threads Post Generator (Free Tool),Offen,[Buffer] The Top Threads Features + How to Use Them | [Buffer] How to Get More Followers on Threads: 10 Tactics to Help You Grow | [Buffer] The Best Time to Post on Threads in 2026 — Data from 2.5M Posts,
Woche 1,Do,2 (Tool),Threads automatisch posten: So geht's,Tools & KI,Threads Hook Generator (Free Tool) + Auto-Posting,Offen,[Buffer] The Top Threads Features + How to Use Them | [Buffer] How to Get More Followers on Threads: 10 Tactics to Help You Grow | [Buffer] The Best Time to Post on Threads in 2026 — Data from 2.5M Posts,
Woche 1,Do,3 (Deep Dive),Community Management Guide: Wie du Fans zu Kunden machst,Strategie,Social Inbox + Brand Kit,Offen,[Loomly] Your Community Management Playbook for 2025 | [PostPlanify] Social media community management | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide,
Woche 1,Fr,1 (News),Pinterest Trends: Was im Frühling 2026 gesucht wird,News & Trends,Pinterest Pin Title Generator (Free Tool),Offen,[MeetEdgar] 14 Social Media Trends for 2026: The In&#x27;s and Outs | [MeetEdgar] 14 Social Media Trends for 2026: The Ins and Outs | [Buffer] 13 Ways to Get More Followers on Instagram in 2026 — Here&#x27;s Exactly What I Would Do if I Were Just Starting Out,
Woche 1,Fr,2 (Tool),Pins automatisch planen: Die besten Tools im Vergleich,Tools & KI,Pinterest Pin Description Generator (Free Tool) + Visual Planner,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 1,Fr,3 (Deep Dive),Pinterest SEO: Der unterschätzte Traffic-Booster für Blogs,Strategie,Pinterest Transcript Extractor (Free Tool) + Analytics Suite,Offen,[MeetEdgar] Pinterest Automation Strategies: Maximize Your Pins | [MeetEdgar] 13 Hacks for Creating Pinterest Images that Get More Clicks | [Hootsuite] Pinterest tipps fuer unternehmen,
Woche 1,Sa,1 (Quick Win),Wochenend-Hack: Content für die nächste Woche in 30 Min planen,Produktivität,Batch Scheduling + Queue Management,Offen,[Buffer] My Content Rotation: 23 Best Newsletters for Marketers and Creators in 2026 | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] The Complete Guide to Content Repurposing: How to Get the Most Out of Every Piece of Content You Create,
Woche 1,Sa,2 (Inspo),7 Content-Ideen für faule Sonntage,Inspiration,Content Ideas Modul,Offen,General Research,
Woche 1,So,1 (Quick Win),Social Media Detox für Manager: Wie du abschaltest,Mindset,Automations-Engine,Offen,[MeetEdgar] What is a Social Media Manager? (And Why You Need One) | [Hootsuite] Fit fuer die zukunft social media manager jetzt koennen muessen | [Hootsuite] Facebook fehler die man als social media manager nicht machen sollte,
Woche 1,So,2 (Inspo),Best of der Woche: Die viralsten Posts unserer Community,Inspiration,Repost Queue,Offen,[Buffer] The Best Time to Post on Threads in 2026 — Data from 2.5M Posts | [Buffer] Best Time to Post on Instagram in 2026: New Data from 9.6 Million Posts | [Buffer] My Content Rotation: 23 Best Newsletters for Marketers and Creators in 2026,
Woche 2,Mo,1 (News),Meta Verified: Lohnt sich der blaue Haken für Unternehmen?,News & Trends,Brand Kit,Offen,[Buffer] How to Get Verified on Instagram: 2 Ways to Get Your Blue Check in 2026 | [Hootsuite] Facebook oder youtube welche video plattform unternehmen wirklich brauchen | [Hootsuite] Unternehmen auf social media promoten,
Woche 2,Mo,2 (Tool),Facebook Gruppen automatisch bespielen: Dos & Don'ts,Tools & KI,Facebook Post Generator (Free Tool) + Group Publishing,Offen,"[SocialBee] How to share a post from Facebook to Instagram in 2026 | [MeetEdgar] How to Schedule Facebook Stories - Quick Guide | [MeetEdgar] Which is the Best Social Network for Live Video - Facebook, X, YouTube or Instagram?",
Woche 2,Mo,3 (Deep Dive),Facebook Marketing 2026: Totgesagte leben länger,Strategie,Facebook Post Generator (Free Tool) + Analytics Suite,Offen,[SocialBee] How to share a post from Facebook to Instagram in 2026 | [MeetEdgar] 18 Best Digital Marketing Platforms for Businesses in 2026 | [MeetEdgar] Real Estate Social Media Marketing Guide (2026),
Woche 2,Di,1 (News),Twitter/X: Neue Regeln für Links in Tweets,News & Trends,,Offen,[Hootsuite] Instagram testet neue shopping funktion | [Hootsuite] Erfolgreiche live tweets | [Hootsuite] Neue social media trends 2017,
Woche 2,Di,2 (Tool),Thread-Writer Tools für X: Lange Texte lesbar machen,Tools & KI,AI Assist,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 2,Di,3 (Deep Dive),Personal Branding auf X: Wie du zur Stimme deiner Nische wirst,Strategie,Repost Queue (Evergreen),Offen,[MeetEdgar] TikTok Personal vs Business Account: Which Is Better for You in 2025?,
Woche 2,Mi,1 (News),KI-Bilder: Kennzeichnungspflicht auf Social Media kommt,News & Trends,,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer) | [Buffer] 7 Tips for Managing Multiple Social Media Accounts Like a Pro,
Woche 2,Mi,2 (Tool),Midjourney vs. DALL-E 3: Welches Tool macht bessere Social Posts?,Tools & KI,Media Library (Image Editor),Offen,"[MeetEdgar] How to Bulk Schedule Your Social Media Posts (A Step-by-Step Guide) | [MeetEdgar] Evergreen Posts, New Audiences: How Native Discovery Ads Supercharge Your Social Content | [MeetEdgar] 20 Ideas for Holiday Social Media Posts to Fill Your Content Calendar This Season [2025 UPDATED]",
Woche 2,Mi,3 (Deep Dive),KI im Social Media Marketing: Fluch oder Segen? (Ethik-Guide),Strategie,AI Content Strategy,Offen,[Loomly] 10 of the Best Social Media Marketing Books to Read in 2025 | [MeetEdgar] Social Media Marketing for Coaches: Strategies to Get More Clients | [MeetEdgar] Real Estate Social Media Marketing Guide (2026),
Woche 2,Do,1 (News),Google Business Profile: Neue Funktionen für lokale Unternehmen,News & Trends,,Offen,[MeetEdgar] How to Schedule Google Business Profile posts [2026 Guide] | [MeetEdgar] Google Business Profile - Complete Guide for 2026 | [CoSchedule] Discover The Top 33 Marketing Management Software Solutions For Your Business,
Woche 2,Do,2 (Tool),Rezensionen automatisch beantworten mit KI,Tools & KI,Review Management (Social Inbox),Offen,General Research,
Woche 2,Do,3 (Deep Dive),Local SEO Hack: Wie Social Media dein Google Ranking pusht,Strategie,Links Modul (Bio Link),Offen,[Hootsuite] Social media tracking mit google analytics | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer),
Woche 2,Fr,1 (News),Influencer Marketing: Preise steigen um 20%,News & Trends,,Offen,[CoSchedule] TikTok Influencer Marketing: A Guide To Increase Brand Awareness & Conversions | [Later] What Separates Influencer Marketing Leaders from Everyone Else in 2025? | [Hootsuite] Alles ueber influencer marketing,
Woche 2,Fr,2 (Tool),Influencer finden: Tools abseits der großen Datenbanken,Tools & KI,,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 2,Fr,3 (Deep Dive),Micro-Influencer Strategie: Mehr ROI mit weniger Budget,Strategie,Campaign Tracker,Offen,[Hootsuite] La video le format indispensable a votre strategie digitale | [Hootsuite] Social media event marketing strategie davor dabei danach | [Hootsuite] 12 tipps wie sie ihre social media profile in weniger als einer stunde optimieren koennen,
Woche 2,Sa,1 (Quick Win),Hashtag-Recherche in 5 Minuten (Checkliste),Produktivität,Instagram Hashtag Generator (Free Tool) + Hashtag Dashboard,Offen,[Hootsuite] Markenloyalitaet in den sozialen medien schaffen nutzen sie diese checkliste,
Woche 2,Sa,2 (Inspo),Zitat-Posts,die wirklich geteilt werden (Vorlagen),Inspiration,Template Wizard + Canva Integration,Offen,General Research
Woche 2,So,1 (Quick Win),Bio-Link optimieren: Mehr Klicks auf deine Website,Produktivität,Links Modul (URL Shortener),Offen,[Hootsuite] 12 tipps wie sie ihre social media profile in weniger als einer stunde optimieren koennen | [Hootsuite] Machen sie ihrem facebook marketing dampf 7 tipps fuer mehr engagement auf facebook | [Hootsuite] Mehr aus snapchat herausholen features die sie noch gar nicht kannten oder noch nicht ausprobiert haben 2,
Woche 2,So,2 (Inspo),Story-Ideen für den Wochenstart,Inspiration,Content Ideas Modul,Offen,General Research,
Woche 3,Mo,1 (News),Instagram Stories werden länger: 3-Minuten-Update,News & Trends,,Offen,"[Hootsuite] Instagram Stories: Tips, tricks, and new features for 2025 | [MeetEdgar] The Ultimate Guide to Instagram Stories Templates | [MeetEdgar] Instagram Post Size Guide: Dimensions for Posts, Reels, & Stories [2026]",
Woche 3,Mo,2 (Tool),Story-Templates für Canva: Unsere Top 10,Tools & KI,Canva Integration + Media Library,Offen,General Research,
Woche 3,Mo,3 (Deep Dive),Storytelling 101: Wie du Emotionen in 15 Sekunden weckst,Strategie,Video Editor,Offen,General Research,
Woche 3,Di,1 (News),LinkedIn Newsletter: Reichweite bricht ein?,News & Trends,Analytics Suite,Offen,"[Buffer] How Buffer Helped Me Triple My LinkedIn Impressions and Grow My Newsletter | [Buffer] I Have 22K Followers on LinkedIn — Here&#x27;s How You Can Grow Your Following, Too | [MeetEdgar] How the LinkedIn Algorithm Works [2026 Guide]",
Woche 3,Di,2 (Tool),Newsletter-Tools im Vergleich: LinkedIn vs. E-Mail,Tools & KI,,Offen,"[Buffer] I Have 22K Followers on LinkedIn — Here&#x27;s How You Can Grow Your Following, Too | [CoSchedule] Elevate Your Email Game: How To Write An Email That Gets Results | [Buffer] How Buffer Helped Me Triple My LinkedIn Impressions and Grow My Newsletter",
Woche 3,Di,3 (Deep Dive),Thought Leadership: Wie du als Experte wahrgenommen wirst,Strategie,LinkedIn Post Generator (Free Tool) + Personal Branding,Offen,General Research,
Woche 3,Mi,1 (News),TikTok Shop startet in DACH: Was Händler wissen müssen,News & Trends,,Offen,[Buffer] 13 Trending Songs on TikTok in February 2026 (+ How to Use Them) | [SocialBee] How to make a slideshow on TikTok (step-by-step guide) | [CoSchedule] TikTok Influencer Marketing: A Guide To Increase Brand Awareness & Conversions,
Woche 3,Mi,2 (Tool),TikToks am Desktop schneiden: CapCut Alternativen,Tools & KI,Video Editor,Offen,[MeetEdgar] How to Schedule TikTok Posts from Your Phone or Desktop,
Woche 3,Mi,3 (Deep Dive),Social Commerce: Verkaufen direkt auf der Plattform,Strategie,Shop Integration,Offen,[Hootsuite] Social media videos auf 4 top plattformen jetzt direkt auf dem hootsuite dashboard managen | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer),
Woche 3,Do,1 (News),YouTube SEO Update: Keywords in Videos werden wichtiger,News & Trends,YouTube Tag Generator (Free Tool),Offen,[SocialBee] How to get monetized on YouTube in 2026 (complete guide) | [MeetEdgar] Are YouTube Shorts Worth It? 5 Reasons You Must Use Them to Grow in 2026 | [MeetEdgar] 100+ YouTube Channel Name Ideas for Small Business (+ Tips to Create Your Own),
Woche 3,Do,2 (Tool),YouTube Thumbnails testen: Tools für mehr Klicks,Tools & KI,Media Library (A/B Testing),Offen,[Hootsuite] Wie sie mehr abonnenten auf youtube gewinnen | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [SocialBee] How to get monetized on YouTube in 2026 (complete guide),
Woche 3,Do,3 (Deep Dive),YouTube Kanalwachstum: Die ersten 1000 Abonnenten,Strategie,YouTube Title Generator (Free Tool) + Analytics,Offen,[Hootsuite] Wie sie mehr abonnenten auf youtube gewinnen | [PostPlanify] How to livestream on youtube without 1000 subscribers | [PostPlanify] How much does youtube pay for 1000 views,
Woche 3,Fr,1 (News),Podcast-Trends 2026: Video-Podcasts übernehmen,News & Trends,,Offen,[Buffer] 13 Ways to Get More Followers on Instagram in 2026 — Here&#x27;s Exactly What I Would Do if I Were Just Starting Out | [Buffer] My Content Rotation: 23 Best Newsletters for Marketers and Creators in 2026 | [Buffer] How to Get Verified on Instagram: 2 Ways to Get Your Blue Check in 2026,
Woche 3,Fr,2 (Tool),Podcast-Schnipsel für Social Media erstellen (Audiogramme),Tools & KI,Media Library (Video),Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer) | [Buffer] 7 Tips for Managing Multiple Social Media Accounts Like a Pro,
Woche 3,Fr,3 (Deep Dive),Content Repurposing Maschine: Ein Podcast -> 20 Social Posts,Strategie,YouTube Transcript Extractor (Free Tool) + Repost Queue,Offen,"[MeetEdgar] Evergreen Posts, New Audiences: How Native Discovery Ads Supercharge Your Social Content | [MeetEdgar] 20 Ideas for Holiday Social Media Posts to Fill Your Content Calendar This Season [2025 UPDATED] | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide",
